,사업장명,주소,위도,경도
272,라찌,서울 성북구 고려대로7마길 9 1층,37.58889741,127.0196475
273,밀리블리,서울 성북구 동소문로6길 4-3 2층,37.58876516,127.0079823
274,코지펫샵,서울 중구 청구로 65,37.55962993,127.0148449
275,니모르,서울 성북구 삼선교로10나길 11,37.58643385,127.0091006
276,네퓨레,서울 성북구 창경궁로 318 101호,37.58773477,127.0049115
277,솔티핫티,서울 용산구 이태원로55길 45,37.53786354,126.9989218
278,도기랑냥이랑 정릉점,서울 성북구 아리랑로 115,37.60208157,127.0136094
279,요술강아지,서울 성북구 보국문로 74,37.61094784,127.0091058
280,펫토맘,서울 성북구 삼선교로 40 4층,37.58811674,127.0100914
281,도모토로,서울 중구 동호로12길 106 301호,37.55968758,127.0126802
282,미니강아지,서울 중구 동호로 170-1,37.55368773,127.0119204
283,강아지풀,서울 은평구 진관3로 70,37.64225983,126.9231411
284,와와펫,서울 성북구 보국문로 34,37.60750647,127.0105737
285,스프링펫 돈암점,서울 성북구 동소문로20길 22,37.59158672,127.0165681
286,조스키친,서울 성북구 아리랑로 20,37.59463725,127.0162542
287,다이렉트 펫,서울 종로구 지봉로 29 금호팔레스 10층,37.57252376,127.0152809
288,루피네 소품집,서울 용산구 보광로 114-5 지층 101호,37.53317967,126.994656
289,마스터애견샵,서울 성북구 아리랑로 23 1층,37.59488363,127.0158656
290,스펠,서울 성북구 보문로13나길 8,37.57982183,127.0215672
291,아베크펫,서울 용산구 우사단로10길 61 B동 1층,37.53253565,126.9988537
292,펫컷,서울 성북구 동소문로 155 2층,37.59619483,127.0206596
293,메이드바이핸드,서울 동작구 노량진1동 215-30,37.55442866,126.8587075
294,츄펫샵,서울 용산구 장문로45길 78,37.52945126,127.0001841
295,메종드미우,서울 동대문구 난계로 252 2층,37.57410092,127.0236677
296,프링,서울 성북구 정릉로 307 길음뉴타운10단지아파트 상가동 1층,37.60322851,127.0178662
297,마이펫트너,서울 성동구 마장로 137 텐즈힐 상가 2층 2149호,37.56782502,127.0250536
298,더세컨드로워&포코앤루시,서울 용산구 우사단로10길 87,37.53210111,127.000238
299,커즈펫 금호점,서울 성동구 장터길 14-1,37.5482681,127.0173586
300,펫티셰,서울 성동구 무학로 33 텐즈힐 156동 106호,37.56916416,127.0263479
301,빌라드봉봉,서울 성동구 왕십리로 410 센트라스 J 127동 111호,37.5665905,127.0240825
302,펫블라썸,서울 은평구 응암동 126-21 B102호,37.60941395,126.9303084
303,라니펫,서울 서대문구 남가좌동 277-2,37.57686832,126.924578
304,장보는강아지와고양이 고양동산점,경기 고양시 덕양구 고양대로 2006,37.64682342,126.9016855
305,삼송펫츠마트 삼송애완용품백화점,경기 고양시 덕양구 삼송로139번길 1,37.65271187,126.8892663
306,펫클럽 하나로삼송점,경기 고양시 덕양구 동송로 20 하나로마트 2층 목우촌펫,37.64863473,126.8988801
307,강아지 고양이 편의점 삼송점,경기 고양시 덕양구 동산동 369 1층 44호,37.64961273,126.8964741
308,오모펫,경기 고양시 덕양구 세솔로 82 베아누빌 4층,37.65137818,126.8887209
309,펫츠홈 삼송점,경기 고양시 덕양구 신원로2길 19 1층,37.66088625,126.8902733
310,앨리케익,경기 고양시 덕양구 삼원로1길 26 102호,37.64565627,126.8762008
311,장보는강아지와고양이 화계점,서울 강북구 삼양로 356 1층,37.63512703,127.0175942
312,쥬파크 강북점,서울 강북구 삼양로 112-1,37.61387096,127.0223271
313,솔샘펫아울렛,서울 강북구 솔샘로 226,37.61986249,127.0177929
314,애견용품 할인마트,서울 강북구 인수봉로 185-1,37.63635956,127.0128189
315,테라펫,서울 강북구 월계로 7 유창빌딩 2층 212호,37.60972073,127.0310703
316,와와펫 본점,서울 동대문구 제기로 85,37.58689456,127.0426735
317,365 애완용품할인마트,서울 강북구 솔매로 113,37.62597461,127.0247815
318,강아지고양이 수제간식&까페,서울 성동구 왕십리로24길 39,37.56596344,127.034484
319,장보는강아지와고양이 엔터식스파크애비뉴점,서울 성동구 왕십리로 241 지하1층,37.55715433,127.040105
320,핑키밍키,서울 동대문구 무학로 114-1 4층 전층,37.57437059,127.0310357
321,P마트,서울 성북구 오패산로 46,37.60747384,127.0387095
322,펫플러스,서울 성북구 월곡로5길 68,37.59928816,127.0361528
323,도그버디,서울 성동구 왕십리로21길 14,37.56129782,127.0328645
324,펫블라썸,서울 은평구 응암동 126-21 B102호,37.61566482,126.9244461
