,사업장명,주소,위도,경도
171,하울링애견용품,서울특별시 강동구 양재대로89길 67,37.52725676,127.1318795
172,스테이지28웁시데이지반려견놀이터,서울특별시 강동구 아리수로61길 91-14 2층,37.56472169,127.1467918
173,"라딧프로젝트카페,디저트",서울특별시 송파구 송파대로 450 1층,37.50685019,127.106151
174,"레스티카페,디저트",경기도 하남시 미사강변중앙로 189 에코브리지2 1층 레스티,37.56330336,127.189708
175,"무스커피카페,디저트",서울특별시 송파구 가락로42길 12 라메종 폴크 1층 101호,37.51214973,127.1206804
176,아망도그플레이스애견카페,서울특별시 송파구 오금로 479 2층,37.49425991,127.1425221
177,"하우디카페,디저트",서울특별시 송파구 송이로 6 1층,37.50395293,127.114997
178,험블커피카페,서울특별시 송파구 오금로38가길 33 1F,37.50395293,127.114997
179,서양맥주 그리고 커피카페,서울특별시 송파구 송파대로 167 문정역테라타워,37.4846615,127.1209336
180,김남매브런치,서울특별시 송파구 백제고분로42길 23 1층 102호 김남매,37.50465287,127.1109996
181,반려동물생활연구소 잠실점애견용품,서울특별시 송파구 올림픽로12길 45 1층,37.50752411,127.0839035
182,포지티브보울동물사료제조,서울특별시 송파구 법원로4길 17 105호 포지티브보울,37.48315692,127.122496
183,리베댕애견카페,경기도 성남시 수정구 위례광장로 34 5a113호,37.52739525,127.1356161
184,"블랙노우즈카페,디저트",서울특별시 강남구 선릉로 402 101호 블랙노우즈,37.50079968,127.0510083
185,"정다방카페,디저트",서울특별시 강남구 테헤란로30길 31 정빌딩 B1,37.49925201,127.0400435
186,"더데이즈커피카페,디저트",서울특별시 강남구 논현로36길 14,37.48481145,127.0429543
187,쿠스퀘어양식,서울특별시 강남구 언주로130길 13,37.51513218,127.036576
188,라온펫 커뮤니티반려동물,서울특별시 강남구 테헤란로 428,37.50569199,127.0541832
189,"카페 도킹카페,디저트",서울특별시 서초구 동산로19길 54,37.47497221,127.0457089
191,오늘 카페카페,서울특별시 서초구 명달로4길 4 1층,37.47984643,127.0060877
192,타이밍 뮤직바바(BAR),서울특별시 서초구 양재천로 135-4 솔빌딩 1층,37.4790696,127.0421885
193,"웨잇어미닛카페,디저트",서울특별시 서초구 방배로18길 9,37.48529321,126.9959627
194,"hundred11카페,디저트",서울특별시 서초구 서초대로 3-4 방배디오슈페리움 지하 1층,37.48603179,126.9830837
195,"머치커피카페,디저트",서울특별시 동작구 동작대로9길 43 1층,37.48062429,126.979093
196,사랑봄양식,서울특별시 관악구 신원로3가길 6 사랑봄,37.48137154,126.9276212
197,부띠끄멍수제간식애견카페,서울특별시 금천구 시흥대로 291,37.46002526,126.8972353
198,견블리애견카페,서울특별시 영등포구 영등포로 353 엔씨티오피스텔 101호,37.51506934,126.9180847
199,"빛톤커피카페,디저트",서울특별시 영등포구 신길로60길 7 2층,37.51392435,126.9123116
200,"허비더비카페,디저트",서울특별시 영등포구 선유로3길 10 1층 127호,37.51610031,126.8868154
201,귀여운주인반려동물,서울특별시 구로구 구로중앙로 207,37.50459382,126.8769636
202,OMW애견카페애견카페,서울특별시 강서구 화곡로 194-26 1층 OMW dog's cafe,37.54199949,126.8426136
203,커멍커멍애견카페,서울특별시 강서구 강서로 385 우성SB타워 10층 커멍커멍,37.56009264,126.8383041
204,"지디파크카페,디저트",서울특별시 강서구 양천로27길 167 지디파크,37.58040078,126.8194725
205,"댕댕브라더스 Cafe카페,디저트",서울특별시 강서구 공항대로7길 32 1층 102호,37.56242196,126.8131458
206,"프로메나드카페,디저트",경기도 고양시 덕양구 행주산성로120번길 43,37.6010901,126.8169851
