,park,salon,cafe,deliver,equip,rst,hospital,manage,pharmacy,playground,restaurant,sell,cluster,lat,lng
1567,0.2,0.447368421,0.090909091,0,0.16,0.112903226,0.304347826,0.217391304,0.422222222,0,0.135135135,0.38372093,7,37.598239,126.924507
1568,0.2,0.342105263,0.090909091,0,0.2,0.112903226,0.217391304,0.130434783,0.288888889,0,0.135135135,0.255813953,19,37.598239,126.929507
1569,0.1,0.263157895,0,0,0.12,0.096774194,0.260869565,0.043478261,0.222222222,0,0.108108108,0.186046512,19,37.598239,126.934507
1570,0.1,0.289473684,0.272727273,0,0.24,0.064516129,0.260869565,0.173913043,0.266666667,0,0.027027027,0.174418605,19,37.598239,126.939507
1571,0.2,0.236842105,0.272727273,0,0.24,0.016129032,0.130434783,0.130434783,0.2,0,0.054054054,0.11627907,19,37.598239,126.944507
1572,0.1,0.157894737,0.272727273,0,0.28,0.064516129,0.086956522,0.173913043,0.088888889,0,0.027027027,0.081395349,19,37.598239,126.949507
1573,0.2,0.131578947,0.272727273,0,0.2,0.048387097,0.086956522,0.217391304,0.088888889,0,0.027027027,0.058139535,19,37.598239,126.954507
1574,0.2,0.105263158,0.181818182,0,0.08,0.048387097,0.130434783,0.173913043,0.066666667,0,0.027027027,0.034883721,19,37.598239,126.959507
1575,0.3,0.052631579,0.090909091,0,0.04,0.032258065,0.130434783,0.086956522,0.022222222,0,0.027027027,0.023255814,2,37.598239,126.964507
1576,0.3,0.026315789,0.090909091,0,0.04,0.032258065,0.086956522,0.043478261,0.022222222,0,0.054054054,0.011627907,2,37.598239,126.969507
1577,0.3,0,0.090909091,0.142857143,0,0,0,0,0,0,0.054054054,0,15,37.598239,126.974507
1578,0.3,0,0,0.142857143,0,0,0,0,0,0,0.054054054,0,15,37.598239,126.979507
1579,0.3,0,0,0.142857143,0,0,0,0,0,0,0.054054054,0,15,37.598239,126.984507
1580,0.4,0,0,0.142857143,0,0,0,0,0,0,0.027027027,0,2,37.598239,126.989507
1581,0.4,0.026315789,0,0,0,0,0.043478261,0.086956522,0,0,0.027027027,0.023255814,2,37.598239,126.994507
1582,0.3,0.026315789,0,0,0,0,0.086956522,0.086956522,0,0,0.027027027,0.058139535,15,37.598239,126.999507
1583,0.4,0.105263158,0.090909091,0,0.04,0.032258065,0.173913043,0.173913043,0.022222222,0,0.027027027,0.127906977,2,37.598239,127.004507
1584,0.4,0.289473684,0.090909091,0,0.24,0.112903226,0.391304348,0.304347826,0.222222222,0,0.027027027,0.244186047,7,37.598239,127.009507
1585,0.2,0.315789474,0.181818182,0.285714286,0.28,0.129032258,0.391304348,0.304347826,0.377777778,0,0.054054054,0.348837209,0,37.598239,127.014507
1586,0.2,0.263157895,0.181818182,0.714285714,0.24,0.112903226,0.434782609,0.260869565,0.377777778,0,0.054054054,0.348837209,14,37.598239,127.019507
1587,0.2,0.289473684,0,0.714285714,0.16,0.064516129,0.347826087,0.217391304,0.377777778,0,0.054054054,0.325581395,14,37.598239,127.024507
1588,0.3,0.263157895,0.090909091,0.714285714,0.08,0.016129032,0.391304348,0.086956522,0.266666667,0,0.054054054,0.244186047,14,37.598239,127.029507
1589,0.2,0.236842105,0.090909091,0.428571429,0.04,0.016129032,0.304347826,0.043478261,0.2,0,0.027027027,0.151162791,0,37.598239,127.034507
1590,0.2,0.210526316,0.090909091,0,0.04,0.016129032,0.260869565,0.043478261,0.177777778,0,0,0.127906977,19,37.598239,127.039507
1591,0.2,0.184210526,0.090909091,0,0.04,0.032258065,0.260869565,0.043478261,0.244444444,0,0,0.127906977,19,37.598239,127.044507
1592,0.1,0.105263158,0,0,0.08,0.032258065,0.173913043,0,0.177777778,0.333333333,0,0.081395349,16,37.598239,127.049507
1593,0.1,0.105263158,0,0,0.08,0.048387097,0.130434783,0.130434783,0.2,0.333333333,0,0.081395349,16,37.598239,127.054507
1594,0.2,0.263157895,0,0.142857143,0.16,0.048387097,0.173913043,0.260869565,0.288888889,0.333333333,0.027027027,0.197674419,10,37.598239,127.059507
1595,0.2,0.236842105,0,0.142857143,0.16,0.080645161,0.173913043,0.260869565,0.177777778,0.333333333,0.054054054,0.220930233,10,37.598239,127.064507
