,번호,인증번호,농장명,농장소재지,인증품목,인증날짜,사육시설,사육규모(마리),자유방목
73,277,동물복지-10-24-2-4,윤우농장,경기도화성시,돼지,2020-06-19,"9동 3,326.4㎡",3130,X
74,276,동물복지-17-12-1-1,진동자연농원,경상남도함안군,산란계,2020-06-15,"5동 1,319.4㎡",7573,X
75,275,동물복지-15-03-1-2,팜스토리 대구농장,전라남도순천시,산란계,2020-05-27,"6동 2,103.96㎡",17000,X
76,274,동물복지-10-21-2-6,찬희농장,경기도용인시,돼지,2020-05-26,1동 930㎡,750,X
77,273,동물복지-10-21-1-6,(주)다원팜 유연지점,경기도용인시,산란계,2020-05-12,"10동 5,507.4㎡",45580,X
78,272,동물복지-13-09-6-4,보영목장,충청남도부여군,젖소,2020-05-12,"3동 4,081.49㎡",93,X
79,271,동물복지-10-20-1-2,현동농장,경기도이천시,산란계,2020-05-06,"7동 7,421.6㎡",64000,X
80,270,동물복지-15-06-1-4,청초란,전라남도담양군,산란계,2020-05-06,"5동 3,533.25㎡",25000,X
81,269,동물복지-16-02-1-3,춘봉농원,경상북도경주시,산란계,2020-04-23,1동 336㎡,2000,O
82,268,동물복지-17-15-1-1,자연원농장,경상남도남해군,산란계,2020-04-24,"4동 2,641.5㎡",20413,X
83,267,동물복지-18-01-1-7,부성농장,제주특별자치도제주시 용강6,산란계,2020-04-08,"4동 1,487.85㎡",7340,O
84,266,동물복지-18-01-1-6,기성농장,제주특별자치도제주시 한림읍,산란계,2020-04-08,"3동 2,705㎡",22250,X
85,265,동물복지-05-00-1-1,우촌농장,광주광역시광산구 용,산란계,2020-04-06,1동 865㎡,4500,O
86,264,동물복지-14-14-3-35,미소농장,전라북도부안군,육계,2020-03-27,"2동 2,924.4㎡",51680,X
87,263,동물복지-14-14-3-34,상우농장,전라북도부안군,육계,2020-03-27,"3동 4,157.82㎡",70239,X
88,262,동물복지-14-14-3-33,연정농장,전라북도부안군,육계,2020-03-27,"3동 3,300㎡",58328,X
89,261,동물복지-14-05-3-8,지성농장,전라북도남원시,육계,2020-03-23,"2동 4,212㎡",74300,X
90,260,동물복지-15-04-1-6,숲속맑은 유정란,전라남도나주시,산란계,2020-03-16,"3동 2,923.86㎡",21000,X
