,park,beauty,cafe,deliver,equip,food,hospital,manage,pharmacy,play,restaurant,sell,cluster,lat,lng
865,0.2,0.0,0.0909090909090909,0.0,0.12,0.09677419354838711,0.0,0.043478260869565216,0.0,0.0,0.08108108108108109,0.023255813953488386,15,37.548239,127.114507
866,0.2,0.26315789473684215,0.0909090909090909,0.0,0.28,0.1935483870967742,0.08695652173913043,0.13043478260869565,0.2222222222222222,0.0,0.08108108108108109,0.1627906976744186,19,37.548239,127.119507
867,0.1,0.4736842105263158,0.0909090909090909,0.4285714285714285,0.44000000000000006,0.20967741935483872,0.30434782608695654,0.2608695652173913,0.35555555555555557,0.0,0.05405405405405406,0.37209302325581395,0,37.548239,127.124507
868,0.2,0.5526315789473685,0.0909090909090909,0.4285714285714285,0.44000000000000006,0.1935483870967742,0.3478260869565218,0.34782608695652173,0.3333333333333333,0.0,0.02702702702702703,0.4302325581395348,0,37.548239,127.129507
869,0.3,0.6842105263157895,0.0909090909090909,0.4285714285714285,0.64,0.20967741935483872,0.6956521739130435,0.4347826086956521,0.4666666666666667,0.0,0.02702702702702703,0.5813953488372092,3,37.548239,127.134507
870,0.5,0.6578947368421053,0.0909090909090909,0.4285714285714285,0.6799999999999999,0.14516129032258066,0.6521739130434783,0.3913043478260869,0.3111111111111111,0.33333333333333337,0.02702702702702703,0.6162790697674418,8,37.548239,127.139507
871,0.6000000000000001,0.605263157894737,0.0,0.4285714285714285,0.48,0.09677419354838711,0.6521739130434783,0.4347826086956521,0.35555555555555557,0.33333333333333337,0.02702702702702703,0.5465116279069767,8,37.548239,127.144507
872,0.5,0.4473684210526316,0.0,0.14285714285714285,0.32,0.06451612903225806,0.4782608695652174,0.21739130434782608,0.48888888888888893,0.33333333333333337,0.02702702702702703,0.34883720930232553,8,37.548239,127.149507
873,0.6000000000000001,0.368421052631579,0.0,0.14285714285714285,0.24,0.03225806451612903,0.30434782608695654,0.17391304347826086,0.3333333333333333,0.33333333333333337,0.02702702702702703,0.19767441860465115,10,37.548239,127.154507
874,0.6000000000000001,0.13157894736842107,0.0,0.14285714285714285,0.12,0.03225806451612903,0.043478260869565216,0.08695652173913043,0.28888888888888886,0.0,0.0,0.06976744186046512,2,37.548239,127.159507
875,0.6000000000000001,0.15789473684210525,0.0,0.0,0.08,0.016129032258064516,0.30434782608695654,0.0,0.24444444444444444,0.0,0.0,0.046511627906976744,2,37.548239,127.164507
876,0.6000000000000001,0.07894736842105264,0.0,0.0,0.08,0.0,0.30434782608695654,0.0,0.13333333333333333,0.0,0.0,0.023255813953488386,2,37.548239,127.169507
877,0.4,0.05263157894736842,0.0,0.0,0.32,0.0,0.30434782608695654,0.0,0.11111111111111112,0.0,0.0,0.023255813953488386,2,37.548239,127.174507
878,0.2,0.05263157894736842,0.0,0.0,0.32,0.0,0.30434782608695654,0.0,0.08888888888888889,0.0,0.0,0.023255813953488386,2,37.548239,127.179507
879,0.1,0.05263157894736842,0.0,0.0,0.32,0.0,0.0,0.0,0.04444444444444445,0.0,0.0,0.0,15,37.548239,127.184507
880,0.0,0.05263157894736842,0.0,0.14285714285714285,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.548239,127.189507
881,0.0,0.10526315789473685,0.0,0.2857142857142857,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.548239,127.194507
882,0.0,0.15789473684210525,0.0,0.5714285714285714,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.548239,127.199507
883,0.0,0.2105263157894737,0.0,0.4285714285714285,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.548239,127.204507
884,0.0,0.13157894736842107,0.0,0.2857142857142857,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.548239,127.209507
885,0.0,0.15789473684210525,0.0,0.2857142857142857,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.548239,127.214507
886,0.0,0.15789473684210525,0.0,0.4285714285714285,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.548239,127.219507
887,0.0,0.10526315789473685,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,37.548239,127.224507
888,0.5,0.39473684210526316,0.18181818181818177,0.2857142857142857,0.4,0.09677419354838711,0.3478260869565218,0.34782608695652173,0.4222222222222222,0.33333333333333337,0.0,0.3255813953488372,8,37.553239,126.859507
889,0.6000000000000001,0.34210526315789475,0.0909090909090909,0.2857142857142857,0.32,0.06451612903225806,0.391304347826087,0.30434782608695654,0.35555555555555557,0.33333333333333337,0.0,0.2790697674418604,8,37.553239,126.864507
890,0.4,0.3157894736842105,0.0,0.14285714285714285,0.36,0.06451612903225806,0.4347826086956522,0.2608695652173913,0.35555555555555557,0.0,0.0,0.20930232558139533,7,37.553239,126.869507
891,0.3,0.2368421052631579,0.0,0.0,0.2,0.04838709677419355,0.30434782608695654,0.21739130434782608,0.24444444444444444,0.33333333333333337,0.0,0.17441860465116277,10,37.553239,126.874507
892,0.3,0.07894736842105264,0.0,0.0,0.08,0.016129032258064516,0.1739130434782609,0.13043478260869565,0.08888888888888889,0.33333333333333337,0.0,0.09302325581395349,16,37.553239,126.879507
893,0.3,0.02631578947368421,0.0,0.0,0.03999999999999998,0.016129032258064516,0.0,0.043478260869565216,0.0,0.33333333333333337,0.13513513513513514,0.034883720930232565,16,37.553239,126.884507
894,0.3,0.02631578947368421,0.0,0.0,0.03999999999999998,0.016129032258064516,0.0,0.0,0.022222222222222227,0.33333333333333337,0.16216216216216217,0.023255813953488386,16,37.553239,126.889507
895,0.3,0.07894736842105264,0.2727272727272727,0.0,0.28,0.04838709677419355,0.043478260869565216,0.08695652173913043,0.06666666666666667,0.33333333333333337,0.24324324324324326,0.10465116279069767,10,37.553239,126.894507
896,0.2,0.26315789473684215,0.5454545454545454,0.14285714285714285,0.6799999999999999,0.1774193548387097,0.2173913043478261,0.2608695652173913,0.24444444444444444,0.33333333333333337,0.3783783783783784,0.20930232558139533,17,37.553239,126.899507
897,0.2,0.2894736842105263,0.6363636363636362,0.14285714285714285,0.84,0.25806451612903225,0.391304347826087,0.3913043478260869,0.37777777777777777,0.33333333333333337,0.6756756756756757,0.2558139534883721,4,37.553239,126.904507
898,0.3,0.368421052631579,0.7272727272727272,0.14285714285714285,0.96,0.3870967741935484,0.5652173913043479,0.5217391304347826,0.4444444444444444,0.33333333333333337,0.918918918918919,0.313953488372093,4,37.553239,126.909507
899,0.4,0.39473684210526316,0.909090909090909,0.2857142857142857,0.9199999999999999,0.45161290322580644,0.6521739130434783,0.5217391304347826,0.6222222222222222,0.0,0.945945945945946,0.37209302325581395,4,37.553239,126.914507
900,0.3,0.4210526315789474,0.7272727272727272,0.2857142857142857,0.6799999999999999,0.3709677419354839,0.5652173913043479,0.5217391304347826,0.6222222222222222,0.0,1.0,0.41860465116279066,4,37.553239,126.919507
901,0.3,0.4210526315789474,0.6363636363636362,0.2857142857142857,0.56,0.27419354838709675,0.391304347826087,0.3913043478260869,0.48888888888888893,0.0,0.972972972972973,0.45348837209302323,4,37.553239,126.924507
902,0.3,0.39473684210526316,0.5454545454545454,0.2857142857142857,0.52,0.22580645161290322,0.30434782608695654,0.4347826086956521,0.6222222222222222,0.0,0.8648648648648649,0.5116279069767442,4,37.553239,126.929507
903,0.1,0.34210526315789475,0.2727272727272727,0.14285714285714285,0.48,0.1774193548387097,0.2173913043478261,0.3913043478260869,0.5777777777777778,0.0,0.8378378378378378,0.3953488372093023,4,37.553239,126.934507
