,park,beauty,equip,food,hospital,manage,pharmacy,sell,dbscan_cluster
372,5,3,2,3,3,2,9,5,-1
373,5,2,2,4,3,1,8,5,-1
374,5,2,2,4,3,1,8,5,-1
375,5,2,1,4,3,1,7,5,-1
376,5,1,1,4,1,0,7,1,-1
377,5,1,1,4,1,0,7,1,-1
378,4,1,1,4,1,0,7,1,-1
379,4,1,3,3,1,0,7,1,-1
380,4,2,3,3,1,0,7,2,-1
381,4,3,3,3,2,0,6,3,-1
382,4,3,3,3,2,0,6,3,-1
383,4,3,3,3,2,0,6,3,-1
384,4,3,3,3,2,0,7,3,-1
385,4,4,3,3,2,0,7,4,-1
386,4,5,3,2,2,1,7,6,-1
387,4,5,3,2,2,1,6,7,-1
388,4,6,3,2,3,1,3,7,-1
389,4,6,3,2,3,1,3,7,-1
390,4,6,2,1,3,1,3,7,-1
391,4,6,2,1,3,1,3,7,-1
392,3,0,2,0,0,0,0,4,1
393,3,0,2,0,0,0,0,4,1
394,3,1,2,0,0,1,0,6,-1
395,3,1,2,0,0,1,0,6,-1
396,3,1,2,0,0,1,0,7,-1
397,3,1,2,1,0,1,0,7,-1
398,3,1,2,1,0,1,1,7,-1
399,3,1,2,1,0,1,1,7,-1
400,2,1,3,1,0,1,2,7,-1
401,2,1,3,1,0,1,2,5,-1
402,2,1,2,2,0,1,2,5,-1
403,3,2,2,2,1,2,2,7,-1
404,4,2,2,2,1,2,2,5,-1
405,4,2,2,2,1,2,2,5,-1
406,4,2,1,2,2,2,2,7,2
407,4,2,1,2,2,2,2,7,2
408,4,2,1,2,2,2,2,7,2
409,4,3,1,2,2,3,2,7,2
410,4,3,2,2,2,3,2,7,2
411,4,3,2,2,2,3,2,7,2
412,4,3,2,2,2,3,2,7,2
413,4,3,2,2,2,3,2,7,2
414,4,3,2,2,2,3,2,7,2
415,4,3,2,2,2,3,2,7,2
416,4,3,2,2,2,3,2,6,2
417,5,3,1,2,2,3,2,6,2
418,5,3,2,2,2,3,2,6,2
419,5,3,2,2,2,3,3,7,2
420,5,3,2,2,2,3,3,7,2
421,4,3,2,2,2,3,3,7,2
422,4,3,2,2,2,3,3,7,2
423,4,2,2,3,3,2,3,5,3
424,4,2,2,3,3,2,5,5,3
425,5,2,2,3,3,2,5,5,3
426,5,3,2,3,3,2,7,5,-1
427,5,2,2,3,3,1,7,5,-1
428,5,2,2,4,3,1,7,5,-1
429,5,2,2,4,3,1,7,5,-1
430,5,2,2,4,3,1,7,5,-1
431,5,2,1,4,2,1,7,3,-1
432,4,1,1,4,1,0,7,1,-1
433,4,1,1,4,1,0,7,1,-1
434,4,1,3,3,1,0,7,1,-1
435,4,1,3,3,1,0,6,1,6
436,4,3,3,3,2,0,6,3,-1
437,4,3,3,3,2,0,6,3,-1
438,4,3,3,3,2,0,6,3,-1
439,4,3,3,3,2,0,6,3,-1
440,4,4,3,3,2,0,7,5,-1
441,4,5,3,3,3,0,7,5,-1
442,4,6,3,2,3,1,7,7,-1
443,4,6,3,2,3,1,7,7,-1
444,4,6,3,2,3,1,7,7,-1
445,4,6,2,2,3,1,6,7,-1
446,4,6,2,2,3,1,2,7,-1
447,4,6,2,2,3,1,2,7,-1
448,3,0,2,0,0,0,0,4,1
449,3,0,2,0,0,0,0,4,1
450,3,1,2,0,0,1,0,6,-1
451,3,1,2,0,0,1,0,6,-1
452,3,1,2,0,0,1,0,6,-1
453,3,1,2,0,0,1,0,7,-1
454,2,1,2,0,0,1,1,7,-1
455,2,1,2,0,0,1,1,7,-1
456,2,1,1,1,0,1,1,5,-1
457,3,1,2,1,0,1,2,5,-1
458,3,1,2,1,0,1,2,5,-1
459,3,2,2,1,1,2,2,3,-1
460,3,2,2,1,1,2,2,5,4
461,3,2,1,1,1,2,2,5,4
462,4,2,1,1,1,2,2,5,4
463,4,2,1,1,2,2,2,7,4
464,4,2,1,1,2,2,2,7,4
465,4,2,1,1,2,2,2,7,4
466,4,2,1,0,2,2,2,7,4
467,4,3,1,0,2,3,2,7,4
468,4,3,1,0,2,3,2,7,4
469,4,3,1,0,2,3,2,7,4
470,4,3,1,2,2,3,2,6,2
471,4,3,1,2,2,3,2,6,2
472,4,3,1,2,2,3,2,6,2
473,4,3,1,2,2,3,2,6,2
474,5,3,1,2,2,3,2,6,2
475,5,3,2,2,2,3,2,7,2
476,5,3,2,2,2,3,2,7,2
477,5,3,2,2,2,3,2,7,2
478,4,3,2,2,2,3,3,7,2
479,4,3,2,3,3,3,5,7,-1
480,4,2,2,3,3,2,5,5,3
481,4,2,2,3,3,1,7,5,-1
482,4,2,2,4,3,1,7,5,-1
483,5,2,2,4,3,1,7,5,-1
484,5,2,2,4,3,1,7,5,-1
485,5,2,2,4,3,1,7,5,-1
486,4,2,2,4,2,1,6,3,-1
487,4,1,1,4,1,0,6,1,-1
488,4,1,1,3,1,0,5,1,6
489,4,1,3,3,1,0,6,1,6
490,4,1,3,3,1,0,6,1,6
491,4,1,3,3,1,0,6,1,6
492,4,3,3,3,2,0,6,3,-1
493,4,3,3,3,2,0,6,3,-1
494,4,3,3,3,2,0,6,4,-1
495,4,4,3,3,3,0,7,4,-1
496,4,5,3,3,3,0,7,5,-1
497,4,5,3,2,3,0,7,5,-1
498,4,6,3,2,3,1,7,7,-1
